Article,HTS Code,Final Predicted HS Code,Final Confidence Level,F1_2digit,F1_4digit,F1_6digit
Acids: Citric,29181400.0,29181400,0.9189921617507936,1,1,1
Acids: Tartaric,29181200.0,29181200,0.9065122604370116,1,1,1
"Aconite, aloes, asafetida, buchu leaves, cocculus indicus, digitalis (Lanata) , ipecac, jalap, manna, and marshmallow or althea: Advanced",13019090.0,6031901,0.6958584189414978,0,0,0
"Adjusted and self-winding (or if a self-winding device can be incorporated therein), or constructed or designed to operate for a period in excess of 47 hours without rewinding (item 710. --)",,91059920,0.5458868741989136,0,0,0
"Albumen, not specially provided for: Blood, dried",35029050.0,35021900,0.6519704461097717,1,1,0
"Alcohols, monohydric, unsubstituted: Ethyl for nonbeverage purposes",22071060.0,29052990,0.7174872159957886,0,0,0
"Alcohols, monohydric, unsubstituted: Fusel oil",38239050.0,29052990,0.6381565928459167,0,0,0
"Alcohols, polyhydric (including glycols, polyglycols, diols, and polyols), and esters, ethers, and ether-esters and substituted derivatives of any of the foregoing: Glycerine: Refined",15209000.0,29389000,0.6905330419540405,0,0,0
Aldehydes: Acetaldehyde,29121200.0,29121200,0.7286468744277954,1,1,1
Aldehydes: Formaldehyde (including solutions),29121100.0,28311010,0.6617786884307861,0,0,0
Aldehydes: Furfural,29321200.0,29321200,0.7184367179870605,1,1,1
Aldehydes: Glyoxal,29121930.0,29121930,0.7304821014404297,1,1,1
Aluminum compounds: Potassium sulfate (Potash alum),28333000.0,28332200,0.7880209684371948,1,1,0
Ammonium compounds (con.): Sulfate,31022100.0,31022100,0.8725481033325195,1,1,1
Ammonium compounds: Nitrate,31023000.0,31023000,0.755178689956665,1,1,1
"Anchors, grapnels, and parts thereof, all the foregoing of iron or steel",73160000.0,73160000,0.946407437324524,1,1,1
"Animal feeds and ingredients therefor, not specifically provided for: Meat including meat offal, not fit for human consumption: Raw whether or not chilled or frozen: Horsemeat (except meat packed in immediate containers weighing with their contents less than 10 pounds)",5119930.0,2089091,0.7217808961868286,0,0,0
"Animal substances, crude, not specially provided for",,25309080,0.6339855194091797,0,0,0
"Animals and poultry brought into the United States for the purpose of breeding, exhibition, or competition for prizes, and the usual equipment therefor",98130060.0,98130060,0.9853628277778624,1,1,1
"Annato, archil, cochineal, cudbear, and litmus",5119940.0,32030010,0.7003328800201416,0,0,0
Antifriction balls and rollers,84829100.0,84829100,0.6445885896682739,1,1,1
"Any article, not provided for elsewhere in these schedules: Which is similar in the use to which it may be applied to any article or articles enumerated in any of the foregoing provisions of these schedules as chargeable with duty: Most resembling as to use a particular enumerated article chargeable with duty",24029000.0,98090030,0.4270958304405212,0,0,0
"Any of the products provided for in this subpart when 
imported in ampoules, capsules, jubes, lozenges,
pills, tablets, troches, or similar forms, including
 powders put up in medicinal doses",30049030.0,30049010,0.5970945954322815,1,1,1
"Apricots, fresh, or prepared or preserved: Dried",8131000.0,8131000,0.8763205409049988,0,0,0
"Aromatic and odoriferous substances containing over
 10 percent alcohol by weight",33029020.0,33029020,0.8206155896186829,1,1,1
"Aromatic or odoriferous compounds including flavors, not marketable as cosmetics, perfumery, or toilet preparations, and not mixed, and not containing alcohol: From whatever source obtained, derived, or manufactured: Vanillin",,29124100,0.7060261368751526,0,0,0
"Aromatic or odoriferous compounds including flavors, not marketable as cosmetics, perfumery, or toilet preparations, and not mixed, and not containing alcohol: Obtained, derived, or manufactured in whole or in part from any product provided for in subpart A or B of this part: Saccharin",,29251100,0.6852872371673584,0,0,0
"Articles chiefly used for preparing, serving, etc. (con.): Of bone chinaware",,69131050,0.6513189077377319,0,0,0
"Articles chiefly used for preparing, serving, etc. (con.): Of nonbone chinaware or of subporcelain: Household ware available in specified sets: In any pattern for which the aggregate value of the articles listed in headnote 2(b) of this subpart is over $10 but not over $24",,69120039,0.6540429592132568,0,0,0
"Articles chiefly used for preparing, serving, etc. (con.): Of nonbone chinaware or of subporcelain: Household ware available in specified sets: Not covered by item 533.63, 533.65, or 533.67, and in any pattern for which the aggregate value of the articles listed in headnote 2(c) of this sub-part is over $8",,46029000,0.6452494859695435,0,0,0
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of coarse-grained earthenware, or of coarse- grained stoneware",69120010.0,70134910,0.6130599975585938,0,0,0
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of fine-grained earthenware (except articles provided for items 533.14 and 533.16) or of fine-grained stoneware: Available in specified sets: In any pattern for which the aggregate value of the articles listed in headnote 2(b) of this subpart is not over $3.30",,70200060,0.6104162335395813,0,0,0
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of fine-grained earthenware (except articles provided for items 533.14 and 533.16) or of fine-grained stoneware: Available in specified sets: In any pattern for which the aggregate value of the articles listed in headnote 2(b) of this subpart is over $3.30 but not over $7",,46029000,0.6161498427391052,0,0,0
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of fine-grained earthenware (except articles provided for items 533.14 and 533.16) or of fine-grained stoneware: Not available in specified sets: Steins, mugs, candy boxes, decanters, punch bowls, pretzel dishes, tidbit dishes, tiered servers, and bonbon dishes",69120044.0,69120041,0.6132106184959412,1,1,1
"Articles chiefly used in the household or elsewhere for preparing, serving, or storing food or beverages, or food or beverage ingredients; smokers' articles, household articles, and art and ornamental articles, all the foregoing not specially provided for: Glassware made of glass containing by weight over 24 percent lead laonoxide: Valued not over $1 each",70132110.0,70134150,0.7366747856140137,1,1,0
"Articles for the blind: Books, music, and pamphlets, in raised print, used exclusively by or for them",98070020.0,98170092,0.9559587240219116,1,0,0
"Articles for the use of any agency of the United States Government: Books, charts, engravings, etchings, maps, photographic prints, whether bound or unbound, and exposed photographic films (including motion-picture films) whether or not developed",98080010.0,98080010,0.7559814453125,1,1,1
Articles imported by or for the account of any person arriving in the United States who is a returning resident thereof: All personal and household effects taken abroad by him or for his account,98040045.0,98040045,0.8502729535102844,1,1,1
"Articles imported by or for the account of any person arriving in the United States who is not a returning resident thereof: Not over 50 cigars, or 300 cigarettes, or 3 pounds of smoking tobacco, or a proportionate amount of each, and not over 1 quart of alcoholic beverages, when brought in by an adult nonresident for his own consumption",98040025.0,98040025,0.8298681974411011,1,1,1
"Articles imported for exhibition by any institution or society established for the encouragement of agriculture, arts, education, or science, or for such exhibition by any State or for a municipal corporation",98120020.0,98120020,0.8649967312812805,1,1,1
"Articles imported for the use of an Institution established solely for religious purposes: Painted, colored, or stained glass windows and parts thereof, all the foregoing valued over $15 per square foot and designed by, and produced by or under the direction of, a professional artist",98100010.0,98100010,0.8077555298805237,1,1,1
"Articles intended solely for testing, experimental, or review purposes, including plans, specifications, drawings, blueprints, photographs, and similar articles for use in connection with experiments or for study",49060000.0,98130030,0.8572857975959778,0,0,0
"Articles not specially provided for of a type used for household, table, or kitchen use; toilet and sanitary wares; all the foregoing and parts thereof, of metal: Articles, wares, and parts, of base coated or plated with precious metal: Of copper: Of brass",73239300.0,74182010,0.6971549987792969,0,0,0
"Articles not specially provided for of a type used for household, table, or kitchen use; toilet and sanitary wares; all the foregoing and parts thereof, of metal: Articles, wares, and parts, of base coated or plated with precious metal: Of iron or steel: Not enameled: Cast articles, coated",73239110.0,76151091,0.7185075283050537,0,0,0
"Articles not specially provided for, of glass: Tubes and tubing with the ends processed: Containing over 95 percent silica by weight",70200000.0,70200060,0.6865618228912354,1,1,1
"Articles not specially provided for, of rubber or plastics: Of natural rubber",40069010.0,40169960,0.807945966720581,1,0,0
"Articles not specially provided for, of textile materials: Of wool: Knit (except pile or tufted construction): Valued not over $5 per pound",58079020.0,51119030,0.7551816701889038,0,0,0
"Articles not specially provided for, of unspun fibrous vegetable materials: Of one or more of the materials bamboo, rattan, willow, or chip",46012040.0,47063000,0.6861014366149902,0,0,0
"Articles not specially provided for: Of bone, horn, hoof, whalebone, quill, or of any combination thereof",96019060.0,96019060,0.8459327220916748,1,1,1
Articles not specially provided for: Of gut: Goldbeaters' molds and goldbeaters' skins,42069000.0,42060090,0.6631296873092651,1,1,0
"Articles to be repaired, altered, or processed (including processes which result in articles manufactured or produced in the United States)",98130005.0,98130005,0.9983200430870056,1,1,1
"Articles, including terrazo, of concrete with or without reinforcement: Tiles: Floor and wall tiles",68101910.0,68101950,0.7283948063850403,1,1,1
"Artificial respiration, ozone therapy, oxygen therapy, aerosol therapy or similar apparatus; breathing appliances, including gas masks and similar respirators; parts of the foregoing",90192000.0,90192000,0.8861428499221802,1,1,1
"Avocados (alligator pears), fresh, or prepared or preserved",8044000.0,8044000,0.7326802015304565,0,0,0
"Baby carriages, baby strollers, and parts thereof: Of metal",87150000.0,87150000,0.8530478477478027,1,1,1
"Bags, baskets, boxes, and cases, all the foregoing, not specially provided for, of leather",42029100.0,42029190,0.8084083199501038,1,1,1
