1963 Item,Higher Confidence Source,Final Confidence Level,Final Predicted HS Code
Acids: Citric,HF,0.9189921617507936,29181400
Acids: Tartaric,HF,0.9065122604370116,29181200
"Aconite, aloes, asafetida, buchu leaves, cocculus indicus, digitalis (Lanata) , ipecac, jalap, manna, and marshmallow or althea: Advanced",HF,0.6958584189414978,6031901
"Adjusted and self-winding (or if a self-winding device can be incorporated therein), or constructed or designed to operate for a period in excess of 47 hours without rewinding (item 710. --)",HF,0.5458868741989136,91059920
"Albumen, not specially provided for: Blood, dried",HF,0.6519704461097717,35021900
"Alcohols, monohydric, unsubstituted: Ethyl for nonbeverage purposes",HF,0.7174872159957886,29052990
"Alcohols, monohydric, unsubstituted: Fusel oil",HF,0.6381565928459167,29052990
"Alcohols, polyhydric (including glycols, polyglycols, diols, and polyols), and esters, ethers, and ether-esters and substituted derivatives of any of the foregoing: Glycerine: Refined",HF,0.6905330419540405,29389000
Aldehydes: Acetaldehyde,HF,0.7286468744277954,29121200
Aldehydes: Formaldehyde (including solutions),HF,0.6617786884307861,28311010
Aldehydes: Furfural,HF,0.7184367179870605,29321200
Aldehydes: Glyoxal,HF,0.7304821014404297,29121930
Aluminum compounds: Potassium sulfate (Potash alum),HF,0.7880209684371948,28332200
Ammonium compounds (con.): Sulfate,HF,0.8725481033325195,31022100
Ammonium compounds: Nitrate,HF,0.755178689956665,31023000
"Anchors, grapnels, and parts thereof, all the foregoing of iron or steel",HF,0.946407437324524,73160000
"Animal feeds and ingredients therefor, not specifically provided for: Meat including meat offal, not fit for human consumption: Raw whether or not chilled or frozen: Horsemeat (except meat packed in immediate containers weighing with their contents less than 10 pounds)",HF,0.7217808961868286,2089091
"Animal substances, crude, not specially provided for",HF,0.6339855194091797,25309080
"Animals and poultry brought into the United States for the purpose of breeding, exhibition, or competition for prizes, and the usual equipment therefor",HF,0.9853628277778624,98130060
"Annato, archil, cochineal, cudbear, and litmus",HF,0.7003328800201416,32030010
Antifriction balls and rollers,HF,0.6445885896682739,84829100
"Any article, not provided for elsewhere in these schedules: Which is similar in the use to which it may be applied to any article or articles enumerated in any of the foregoing provisions of these schedules as chargeable with duty: Most resembling as to use a particular enumerated article chargeable with duty",HF,0.4270958304405212,98090030
"Any of the products provided for in this subpart when 
imported in ampoules, capsules, jubes, lozenges,
pills, tablets, troches, or similar forms, including
 powders put up in medicinal doses",HF,0.5970945954322815,30049010
"Apricots, fresh, or prepared or preserved: Dried",HF,0.8763205409049988,8131000
"Aromatic and odoriferous substances containing over
 10 percent alcohol by weight",HF,0.8206155896186829,33029020
"Aromatic or odoriferous compounds including flavors, not marketable as cosmetics, perfumery, or toilet preparations, and not mixed, and not containing alcohol: From whatever source obtained, derived, or manufactured: Vanillin",GPT,0.7060261368751526,29124100
"Aromatic or odoriferous compounds including flavors, not marketable as cosmetics, perfumery, or toilet preparations, and not mixed, and not containing alcohol: Obtained, derived, or manufactured in whole or in part from any product provided for in subpart A or B of this part: Saccharin",GPT,0.6852872371673584,29251100
"Articles chiefly used for preparing, serving, etc. (con.): Of bone chinaware",GPT,0.6513189077377319,69131050
"Articles chiefly used for preparing, serving, etc. (con.): Of nonbone chinaware or of subporcelain: Household ware available in specified sets: In any pattern for which the aggregate value of the articles listed in headnote 2(b) of this subpart is over $10 but not over $24",GPT,0.6540429592132568,69120039
"Articles chiefly used for preparing, serving, etc. (con.): Of nonbone chinaware or of subporcelain: Household ware available in specified sets: Not covered by item 533.63, 533.65, or 533.67, and in any pattern for which the aggregate value of the articles listed in headnote 2(c) of this sub-part is over $8",GPT,0.6452494859695435,46029000
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of coarse-grained earthenware, or of coarse- grained stoneware",GPT,0.6130599975585938,70134910
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of fine-grained earthenware (except articles provided for items 533.14 and 533.16) or of fine-grained stoneware: Available in specified sets: In any pattern for which the aggregate value of the articles listed in headnote 2(b) of this subpart is not over $3.30",HF,0.6104162335395813,70200060
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of fine-grained earthenware (except articles provided for items 533.14 and 533.16) or of fine-grained stoneware: Available in specified sets: In any pattern for which the aggregate value of the articles listed in headnote 2(b) of this subpart is over $3.30 but not over $7",GPT,0.6161498427391052,46029000
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of fine-grained earthenware (except articles provided for items 533.14 and 533.16) or of fine-grained stoneware: Not available in specified sets: Steins, mugs, candy boxes, decanters, punch bowls, pretzel dishes, tidbit dishes, tiered servers, and bonbon dishes",GPT,0.6132106184959412,69120041
"Articles chiefly used in the household or elsewhere for preparing, serving, or storing food or beverages, or food or beverage ingredients; smokers' articles, household articles, and art and ornamental articles, all the foregoing not specially provided for: Glassware made of glass containing by weight over 24 percent lead laonoxide: Valued not over $1 each",GPT,0.7366747856140137,70134150
"Articles for the blind: Books, music, and pamphlets, in raised print, used exclusively by or for them",HF,0.9559587240219116,98170092
"Articles for the use of any agency of the United States Government: Books, charts, engravings, etchings, maps, photographic prints, whether bound or unbound, and exposed photographic films (including motion-picture films) whether or not developed",HF,0.7559814453125,98080010
Articles imported by or for the account of any person arriving in the United States who is a returning resident thereof: All personal and household effects taken abroad by him or for his account,HF,0.8502729535102844,98040045
"Articles imported by or for the account of any person arriving in the United States who is not a returning resident thereof: Not over 50 cigars, or 300 cigarettes, or 3 pounds of smoking tobacco, or a proportionate amount of each, and not over 1 quart of alcoholic beverages, when brought in by an adult nonresident for his own consumption",HF,0.8298681974411011,98040025
"Articles imported for exhibition by any institution or society established for the encouragement of agriculture, arts, education, or science, or for such exhibition by any State or for a municipal corporation",HF,0.8649967312812805,98120020
"Articles imported for the use of an Institution established solely for religious purposes: Painted, colored, or stained glass windows and parts thereof, all the foregoing valued over $15 per square foot and designed by, and produced by or under the direction of, a professional artist",GPT,0.8077555298805237,98100010
"Articles intended solely for testing, experimental, or review purposes, including plans, specifications, drawings, blueprints, photographs, and similar articles for use in connection with experiments or for study",HF,0.8572857975959778,98130030
"Articles not specially provided for of a type used for household, table, or kitchen use; toilet and sanitary wares; all the foregoing and parts thereof, of metal: Articles, wares, and parts, of base coated or plated with precious metal: Of copper: Of brass",GPT,0.6971549987792969,74182010
"Articles not specially provided for of a type used for household, table, or kitchen use; toilet and sanitary wares; all the foregoing and parts thereof, of metal: Articles, wares, and parts, of base coated or plated with precious metal: Of iron or steel: Not enameled: Cast articles, coated",GPT,0.7185075283050537,76151091
"Articles not specially provided for, of glass: Tubes and tubing with the ends processed: Containing over 95 percent silica by weight",HF,0.6865618228912354,70200060
"Articles not specially provided for, of rubber or plastics: Of natural rubber",HF,0.807945966720581,40169960
"Articles not specially provided for, of textile materials: Of wool: Knit (except pile or tufted construction): Valued not over $5 per pound",HF,0.7551816701889038,51119030
"Articles not specially provided for, of unspun fibrous vegetable materials: Of one or more of the materials bamboo, rattan, willow, or chip",HF,0.6861014366149902,47063000
"Articles not specially provided for: Of bone, horn, hoof, whalebone, quill, or of any combination thereof",HF,0.8459327220916748,96019060
Articles not specially provided for: Of gut: Goldbeaters' molds and goldbeaters' skins,HF,0.6631296873092651,42060090
"Articles to be repaired, altered, or processed (including processes which result in articles manufactured or produced in the United States)",HF,0.9983200430870056,98130005
"Articles, including terrazo, of concrete with or without reinforcement: Tiles: Floor and wall tiles",HF,0.7283948063850403,68101950
"Artificial respiration, ozone therapy, oxygen therapy, aerosol therapy or similar apparatus; breathing appliances, including gas masks and similar respirators; parts of the foregoing",HF,0.8861428499221802,90192000
"Avocados (alligator pears), fresh, or prepared or preserved",GPT,0.7326802015304565,8044000
