1963 Item,Predicted HS Code,Confidence Score
Sodium compounds: Borate: Other,25280000,0.6511062383651733
Willow: prepared for basket makers' use,46021912,0.7497305870056152
"Narrow fabrics: Of vegetable fibers: Webbing, of jute",53110040,0.6745364665985107
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of coarse-grained earthenware, or of coarse- grained stoneware",76151091,0.5858491659164429
"Live birds: Chickens, ducks, geese, guineas, and turkeys: Other",1063901,0.7316775321960449
"Floor coverings not specially provided for, of textile materials: Other: Other: Woven, but not made on a power-driven loom",57025020,0.7496696710586548
"Surveying (including photogrammetrical surveying), hydrographic, navigational, meteorological, hydrological, and geophysical instruments; compasses; rangeflnders; parts of the foregoing Instruments: Other instruments and parts: Anemometers, and parts thereof: Anemometers",90158080,0.6959646344184875
"Bulbs, roots, rootstocks, clumps, corms, tubers, and barbaceous perennials: Hyacinth bulbs",6012090,0.6753368973731995
"Flexible metal hose or tubing, whether covered with wire or other material, and with or without fittings",83079030,0.7607283592224121
"Drums, flasks, casks, cans, boxes, lift vans, and other containers (except pressure containers In items 640.05 and 640.10 and collapsible tubes in item 640.40), all the foregoing, of base metal, chiefly used in the packing, transporting, or marketing of goods: Other",76129050,0.6775363683700562
"Other bedding, not ornamented: Of silk",63022210,0.642003059387207
"Fish, prepared or preserved in any manner, not in oil, in airtight containers: Pollock: Product of Cuba (except smoked pollock)",16041932,0.7626699209213257
"Iron or steel pipes or tubes prepared and coated or lined in any manner suitable for use as conduits for electrical conductors, and iron or steel fittings therefor: Fittings",73071930,0.7562422752380371
"Gloves of leather except gloves in item 705.35: Seamed: Men's, lined: Not seamed wholly or in part by hand: Valued not over $26 per dozen pairs",42032930,0.70578533411026
"Fish, prepared or preserved in any manner, in oil, in airtight containers: Sardines: Valued over 23 but not over 30 cents per pound (including weight of immediate container): Skinned or boned",16041310,0.7519651651382446
"Work and tool holders and other parts of, and accesso- ries used principally with,machine tools; tool holders for the mechanical hand tools provided for in items 651.27, 674.70, and 683.20: Other: Parts: Other: Parts of metal-working machine tools for cutting or hobbing gears",84662080,0.7379440069198608
Hormones: Synthetic,29379090,0.6707050800323486
Lawn-tennis equipment and parts thereof: Balls,95069930,0.9127656817436218
"Fruit peel, crude, dried, or otherwise prepared or preserved: Crude, dried, or in brine: Lemon",8140080,0.7541297674179077
Internal combustion engines and parts thereof: Parts: Other parts: Other,84091000,0.8211625218391418
