1990 Item,Predicted HS Code,Associated 2023 Description,Confidence Score
"Electrical filament lamps, voltage not exceeding 100 V, having glass envelopes n/o 6.35 mm in diameter, suitable in surgical instruments",85392920,"Electrical filament lamps, voltage not exceeding 100 V, having glass envelopes n/o 6.35 mm in diameter, suitable in surgical instruments",0.9171298742294312
"Meat and edible offal of deer, fresh, chilled or frozen",2089020,"Meat and edible offal of deer, fresh, chilled or frozen",0.8454957008361816
"Aromatic drugs nesi of amino-alcohols, their ethers and esters, except those cont. more than one kind of oxygen function; salts thereof",29221909,"Aromatic amino-alcohols drugs, their ethers and esters, other than those containing > one kind of oxygen function; salts thereof; nesoi",0.7961584329605103
Gold compounds,28433000,Gold compounds,0.7559107542037964
Cast fittings of nonmalleable cast iron,73071100,"Cast nonmalleable iron, fittings for tubes or pipes",0.8017439842224121
Waste and scrap of stainless steel,72042100,Stainless steel waste and scrap,0.8245049715042114
"Nonaromatic amino-acids, other than those containing more than one kind of oxygen function, nesi",29224926,"Aromatic amino-acids drugs and their esters, not containing more than one kind of oxygen function, nesoi",0.8068658113479614
Baby carriages (including strollers) and parts thereof,87150000,Baby carriages (including strollers) and parts thereof,0.8838791847229004
"Air conditioning machines incorporating a refrigerating unit, nesi",84158201,"Air conditioning machines incorporating a refrigerating unit, nesoi",0.8582214713096619
"Catalysts in the form of wire cloth or grill, of platinum",71151000,Platinum catalysts in the form of wire cloth or grill,0.9045553207397461
"Electrical fixed resistors, other than composition or film type carbon resistors, for a power handling capacity not exceeding 20 W",85332100,"Electrical fixed resistors, other than composition or film type carbon resistors, for a power handling capacity not exceeding 20 W",0.7709032297134399
"Continuous-action elevators and conveyors, for goods or materials, nesi",84283100,"Continuous-action elevators and conveyors, for goods or materials, specially designed for underground use",0.8587100505828857
"Upholstered seats (other than chairs), with wooden frames (other than those of heading 9402)",94017900,"Seats nesoi, w/metal frame (o/than of heading 9402), not upholstered",0.7542393207550049
"Brussels sprouts, fresh or chilled",7042000,"Brussels sprouts, fresh or chilled",0.8152081966400146
"Electrothermic toasters, for domestic purposes",85167200,"Electrothermic toasters, for domestic purposes",0.8254640102386475
"Aromatic heterocyclic compounds with oxygen hetero-atom(s) only, containing an unfused furan ring, nesi",29321910,"Aromatic heterocyclic compounds with oxygen hetero-atom(s) only, containing an unfused furan ring, nesoi",0.7655065059661865
"Articles of apparel, of reptile leather",42031020,"Articles of apparel, of reptile leather",0.8411166667938232
"Nonaromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesi",29042050,"Nonaromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesoi",0.8454569578170776
Potassium peroxosulfates (potassium persulfates),28334020,Sodium peroxosulfates (sodium persulfates),0.7495517730712891
"Interchangeable tools for tapping or threading nesi, and parts thereof, of base metal",82074060,"Interchangeable tools for tapping or threading, nesoi, and base metal parts thereof",0.8573052883148193
Drugs of aromatic organo-inorganic (except organo-sulfur) compounds,29319022,Drugs of aromatic organo-inorganic compounds,0.7807866930961609
Articles of zirconium nesi,81099100,"Zirconium, articles, nesoi, containing less than 1 part hafnium to 500 parts zirconium by weight",0.6650964021682739
Stud link chain of iron or steel,73158100,"Iron or steel, stud link chain",0.7352506518363953
"Zinc articles of a type used for household, table or kitchen use; zinc toilet and sanitary wares; parts of all the foregoing",79070010,"Zinc, household, table or kitchen use articles; zinc toilet and sanitary wares; zinc parts of all the foregoing",0.8132866024971008
"T sections of iron or nonalloy steel, not further worked than hot-rolled, hot-drawn or extruded, height under 80 mm",72162200,"Iron/nonalloy steel, T-sections, not further worked than hot-rolled, hot-drawn or extruded, w/height under 80 mm",0.7568960189819336
Electrothermic hand drying apparatus,85163300,Electrothermic hand drying apparatus,0.7796017527580261
"Women's or girls' skirts and divided skirts, not knitted or crocheted, of cotton, certified hand-loomed and folklore products",62045210,"Women's or girls' skirts and divided skirts, not knitted or crocheted, of cotton, certified hand-loomed and folklore products",0.9049491882324219
Natural uranium metal,28441010,Natural uranium metal,0.8462560176849365
"Photographic film nesi, in rolls, of a width not exceeding 16 mm and of a length exceeding 14 m",37029700,"Photographic film nesoi, in rolls, of a width  not exceeding 35 mm and of a length exceeding 30 m",0.8402668237686157
"Agricultural, horticultural or forestry hand tools, and parts thereof, of base metal",82019060,"Base metal hand tools of a kind used in agriculture, horticulture or forestry nesoi, and base metal parts thereof",0.7654205560684204
Drawing or roving machines for preparing textile fibers,84451300,Drawing or roving machines for preparing textile fibers,0.8003396987915039
Electrical particle accelerators,85431000,Electrical particle accelerators,0.8452330827713013
"Hydrides, nitrides, azides, silicides and borides other than of calcium, titanium, tungsten or vanadium",28500050,"Hydrides, nitrides, azides, silicides and borides other than of calcium, titanium, tungsten or vanadium",0.7831206321716309
"Wire of aluminum alloys, of which the maximum cross-sectional dimension does not exceed 7 mm",76051900,"Aluminum (o/than alloy), wire, with a maximum cross-sectional dimension of 7 mm or less",0.742904543876648
"Public-transport type passenger motor vehicles, other than compression-ignition internal-combustion piston engine",87038000,"Motor vehicles to transport persons, w/electric motor for propulsion",0.6491490006446838
"Parts and accessories of articles of heading 9301 to 9304, nesi",93052080,Other parts and accessories of shotguns or rifles of heading 9303,0.6404533386230469
"Articles of a kind normally carried in the pocket or handbag, with outer surface of plastic sheeting, nesi",42023220,"Articles of a kind normally carried in the pocket or handbag, with outer surface of plastic sheeting, nesoi",0.7200290560722351
"Cigarettes containing tobacco, nesi",24022090,"Cigarettes containing tobacco, nesoi",0.7379741668701172
Tube or pipe fittings of copper alloys,74122000,"Copper alloys, fittings for tubes and pipes",0.8357586860656738
"Men's or boys' suits, of synthetic fibers, not knitted or crocheted, containing 36 percent or more by weight of wool or fine animal hair",62031210,"Men's or boys' suits, of synthetic fibers, not knitted or crocheted, containing 36 percent or more by weight of wool or fine animal hair",0.894028902053833
"Woven fabrics of other vegetable textile fibers, containing more than 17% by weight of wool or fine animal hair",53110020,"Woven fabrics of other vegetable textile fibers, containing more than 17% by weight of wool or fine animal hair",0.8269696831703186
"Composite diagnostic or laboratory reagents, other than those of heading 3002 or 3006, containing antigens or antisera",38221300,Diagnostic or laboratory reagents for blood-grouping,0.6357152462005615
"Grape wine, other than ""Marsala"", not sparkling or effervescent, over 14% vol. alcohol, in containers holding 2 liters or less",22042180,"Grape wine, other than Marsala, not sparkling or effervescent, over 14% vol. alcohol, in containers holding 2 liters or less",0.6936561465263367
"Terry toweling and similar woven terry fabrics, other than narrow fabrics of heading 5806, of cotton, unbleached",58022000,Terry toweling and similar woven terry fabrics (other than narrow fabrics of heading 5806) of textile materials other than cotton,0.884236216545105
"Rape or colza seeds, whether or not broken",12059000,"Rape or colza seeds (other than of low erucic acid), whether or not broken",0.6889874935150146
Cathodes and sections of cathodes of refined copper,74031100,Refined copper cathodes and sections of cathodes,0.8278327584266663
"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features and other parts nesi",84879000,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features and other parts nesoi",0.7484897375106812
"Women's or girls' anoraks, windbreakers and similar articles, not knitted or crocheted, of cotton, nesi, water resistant",62024070,"Women's/girls' anoraks, windbreakers & similar articles, not knit/crochet, of manmade fibers, nesoi, water resistant, o/than rec perf outwear",0.7900891900062561
"Artificial staple fibers, not carded, combed or otherwise processed for spinning, other than of viscose rayon",55049000,"Artificial staple fibers, not carded, combed or otherwise processed for spinning, other than of viscose rayon",0.9200789928436279
"Ginger root, preserved by sugar (drained, glace or crystallized)",20060030,"Ginger root, preserved by sugar (drained, glace or crystallized)",0.8567466735839844
"Smokers' articles of glassware; glass perfume bottles fitted with ground glass stoppers, not of lead crystal",70139930,"Smokers' articles of glass, nesoi; perfume bottles of glass fitted with ground glass stoppersk, nesoi",0.7166313529014587
"Photographic flashbulbs, flashcubes and the like",90069900,Parts and accessories for photographic flashlight apparatus and flashbulbs,0.6389763355255127
"Inflatable vessels, row boats and canoes for pleasure or sports",89071000,Inflatable rafts (o/than used for pleasure or sports of 8901.10),0.6291567087173462
"Synthetic staple fibers, not carded, combed or otherwise processed for spinning, nesi",55032000,"Synthetic staple fibers, not carded, combed or otherwise processed for spinning, of polyesters",0.8856875896453857
"Weft pile fabrics of man-made fibers, cut, other than fabrics of heading 5802 or 5806, nesi",58013300,"Weft pile fabrics of man-made fibers, cut, other than fabrics of heading 5802 or 5806, nesoi",0.7031814455986023
"Mountings, fittings and similar articles nesi, suitable for motor vehicles, and parts thereof, of base metal, nesi",83023030,"Iron or steel, aluminum or zinc mountings, fittings and similar articles nesoi, suitable for motor vehicles, and base metal parts thereof",0.7512995004653931
"Sewing thread of artificial filaments, whether or not put up for retail sale",54060010,"Synthetic filament yarn (except sewing thread), put up for retail sale",0.7525672912597656
"Coniferous wood dowel rods, plain, continuously shaped along any of its edges or faces",44091060,"Coniferous wood dowel rods, plain, continuously shaped along any of its edges or faces but not on its ends",0.8951107859611511
"Tapestry and upholstery fabrics of carded wool or fine animal hair, mixed mainly or solely with man-made staple fibers exceeding 300 g/m2",51113010,"Tapestry & upholstery fabrics of carded wool/fine animal hair, mixed mainly/solely with man-made staple fibers, weight not over 140 g/m2",0.8502671718597412
Ethane and butane,29011010,"Ethane and butane, saturated, having a purity of 95% or more by volume",0.5948153734207153
"Plaited bands, slings and the like other than stranded wire, ropes and cables, of iron or steel, not electrically insulated",73129000,"Iron/steel (o/stainless), plaited bands, slings and the like, not electrically insulated",0.7195695638656616
