ProductDescription,ProductCode,Final Predicted HS Code,Final Confidence Level,F1_2digit,F1_4digit,F1_6digit
2-Mercaptobenzothiazole; and N-(Oxydiethylene)benzothiazole-2-sulfenamide,29342015,29342015,1.0000001192092896,1,1,1
2-Phenylimidazole,29332910,29332910,1.0000003576278689,1,1,1
"3- or 4-thread twill fabrics of cotton, including cross twill, 85% or more cotton by weight, not over 200 g/m2, of yarns of different colors",52084300,52084300,1.000000238418579,1,1,1
"3- or 4-thread twill, cont. less than 85% polyester staple fibers mixed mainly or solely with cotton, not over 170 g/m2, dyed",55132200,55142200,0.878219723701477,1,0,0
"3-Amino-1,2,4-triazole",29339040,29339985,1.0000004768371582,1,1,0
"4-Amino-2-(N,N-Diethylamino)-toluene hydrochloride; m- and o-phenylenediamine; toluene-2,4 and -2,5-diamine; and toluene-2,5-diamine sulfate",29215110,29215110,0.998193085193634,1,1,1
6-Chloro-m-cresol [OH=1]; m-chlorophenol; and chlorothymol,29081010,29081910,1.000000238418579,1,1,0
"AC motors nesi, multi-phase, of an output exceeding 75 kW but under 149.2 kW",85015340,85015340,0.9336509704589844,1,1,1
"AC motors, nesi, multi-phase, 149.2 kW or more but not exceeding 150 kW",85015360,85015360,0.965559720993042,1,1,1
"AC motors, nesi, multi-phase, of an output exceeding 735 W but under 746 W",85015150,85015150,0.9674316644668579,1,1,1
"Abaca (Manila hemp or Musa textilis Nee) fibers, processed but not spun; abaca tow, noils and waste (incl. yarn waste and garnetted stock)",53052900,53050000,0.7083176374435425,1,1,0
"Accessories of machines of heading 8447 or of their auxiliary machinery, nesi",84485950,84485950,0.9566745758056641,1,1,1
"Acetone, derived in whole or in part from cumene",29141110,29141110,1.0,1,1,1
"Acrylonitrile-butadiene rubber (NBR), latex, in primary forms or in plates, sheets or strip",40025100,40025100,1.0000003576278689,1,1,1
"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",39033000,39033000,1.0,1,1,1
Addressing machines and address plate embossing machines,84722000,84729005,1.000000238418579,1,1,0
"Agricultural, horticultural or forestry hand tools, and parts thereof, of base metal",82055940,82019060,0.9077707529067992,1,0,0
"Air conditioning machines incorporating a refrigerating unit, nesi",84158200,84158201,0.9432801008224488,1,1,1
"Air dried or sun dried mushrooms, whole, cut, sliced, broken or in powder, but not further prepared",7123010,7123110,0.8983629941940308,1,1,0
Aircraft launching gear and parts thereof; deck-arrestors or similar gear and parts thereof,88051000,88051000,1.0000003576278689,1,1,1
"Alarm clocks nesi, movement measuring over 50 mm wide, not battery or AC powered, valued over $5 each",91051950,91051950,0.8931028842926025,1,1,1
"Aluminum foil, not exceeding 0.2 mm thickness, backed, nesi",76072050,76071930,0.7904245853424072,1,1,0
Aluminum phosphate,28352910,28352910,1.0000003576278689,1,1,1
"Aluminum reservoirs, tanks, vats and like containers for any material (except compressed or liquefied gas), exceeding 300 liters, not fitted",76110000,76110000,0.9086456298828124,1,1,1
"Aluminum screws, bolts, nuts, screw hooks, washers and similar articles having shanks, threads, or holes over 6 mm in diameter",76161070,76161070,0.9562709331512452,1,1,1
Aluminum waste and scrap,76020000,76020000,0.9572434425354004,1,1,1
"Aluminum wire, not alloyed, of which the maximum cross-sectional dimension exceeds 7 mm",76051100,76052100,0.9478152394294742,1,1,0
Analog or hybrid automatic data processing machines,84711000,84716010,0.6034075021743774,1,1,0
Analog or linear monolithic electronic integrated circuits,85421900,85423900,0.6955137848854065,1,1,0
"Anchovies, whole or in pieces but not minced, in oil, in airtight containers, the first 3,000 metric tons per year",16041610,16041620,0.8448411226272583,1,1,1
Anhydrous ammonia,28141000,28141000,1.000000238418579,1,1,1
"Animal carving materials and articles of these materials, nesi",96019080,96019080,0.8721153736114502,1,1,1
"Animal products nesi; dead animals of chapter 1, unfit for human consumption",5119940,5119940,0.9074585437774658,1,1,1
Antifreezing preparations and prepared de-icing fluids,38200000,38200000,0.9999998807907104,1,1,1
Antihistamines of heterocyclic compounds with nitrogen hetero-atom(s) only cont. pyrimidine or piperazine ring,29335925,29339926,0.8975400328636169,1,1,0
Antiknock preparations based on tetraethyl lead or on a mixture of tetraethyl lead and tetramethyl lead,38111110,38111110,1.0,1,1,1
