1990 Product Code,1990 Description,GPT-4 Predicted HS Code
1051900,"Live ducks, geese, turkeys and guineas, weighing not over 185 g each",010511
1039100,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",010392
9070000,"Cloves (whole fruit, cloves and stems)",09070010
9081000,Nutmeg,09081100
10064000,Broken rice,10064000
19019020,"Malt extract, solid or condensed",19019010
19053000,Sweet biscuits (pastry); waffles and wafers,1905.90.90
20056000,"Asparagus, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",20055100
29299050,"Nonaromatic compounds with other nitrogen functions, except isocyanates",2926.90.00
30021000,Antisera and other blood fractions,300210
39075000,Alkyd resins in primary forms,390730
40121010,"Retreaded pneumatic tires of rubber, for aircraft",40121000
49119110,"Pictures, designs and photographs, printed over 20 years at time of importation",97020000
49100040,"Calendars printed on paper or paperboard in whole or in part by a lithographic process, over 0.51 mm in thickness",49100000
49111000,"Printed trade advertising material, commercial catalogs and the like",49111000
49119140,"Pictures, designs and photographs, excluding lithographs on paper or paperboard, printed not over 20 years at time of importation",4911.91.00
50031000,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock) not carded or combed",5003.00
59114000,"Straining cloth of a kind used in oil presses or the like, of textile material or of human hair",5911.90
59069910,"Rubberized textile fabrics not knitted or crocheted, of cotton, other than those of heading 5902",590310
60022090,"Knitted or crocheted fabrics nesi, width n/o 30 cm, not cont. 5% or more elastomeric yarn or rubber thread, not of cotton or man-made fibers",60059000
69120010,"Tableware and kitchenware of earthenware or stoneware, having a reddish-colored body and a lustrous glaze of different coloring",691200
70133230,"Glassware for table/kitchen use (except drinking glasses), of low coefficient of heat expansion , over $3, n/o $5 each",7013.49.00
79060000,"Zinc tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves)",7307.19.00
80040000,"Tin plates, sheets and strip, of a thickness exceeding 0.20 mm",8007.00.00
89060090,"Vessels nesi, including warships and lifeboats other than row boats",890690
90138060,"Liquid crystal devices nesi, and optical appliances and instruments, nesi",9003.19.00
97040000,"Used postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery and the like, or certain unused issue of same",9704.00.00
