1990 Product Code,1990 Description,GPT-4 Predicted HS Code,Formatted GPT-4 Predicted HS Code,Closest 2023 HS Code,2023 Product Description,F1 Score HS4,F1 Score HS6,F1 Score HS8
28433000,Gold compounds,28433000,28433000,28433000,Gold compounds,1.0,1.0,1.0
85392920,"Electrical filament lamps, voltage not exceeding 100 V, having glass envelopes n/o 6.35 mm in diameter, suitable in surgical instruments",9018.90.20,90189020,90189020,"Optical instruments and appliances nesoi, used in medical, surgical, dental or veterinary sciences, and parts and accessories thereof",0.0,0.0,0.0
87029000,"Public-transport type passenger motor vehicles, other than compression-ignition internal-combustion piston engine",870210,870210,20087010,"Nectarines, otherwise prepared or preserved, not elsewhere specified or included",1.0,0.0,0.0
87150000,Baby carriages (including strollers) and parts thereof,87150000,87150000,87150000,Baby carriages (including strollers) and parts thereof,1.0,1.0,1.0
85167200,"Electrothermic toasters, for domestic purposes",8516.72,851672,85167200,"Electrothermic toasters, for domestic purposes",1.0,1.0,0.0
29221915,"Aromatic drugs nesi of amino-alcohols, their ethers and esters, except those cont. more than one kind of oxygen function; salts thereof",3003.90.00,30039000,6039000,"Cut flowers and flower buds, suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",0.0,0.0,0.0
84859000,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features and other parts nesi",84879000,84879000,84879000,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features and other parts nesoi",0.0,0.0,0.0
62045210,"Women's or girls' skirts and divided skirts, not knitted or crocheted, of cotton, certified hand-loomed and folklore products",62045200,62045200,61045200,"Women's or girls' skirts and divided skirts, knitted or crocheted, of cotton",1.0,1.0,0.0
82055940,"Agricultural, horticultural or forestry hand tools, and parts thereof, of base metal",8201.30.00,82013000,82013000,"Mattocks, picks, hoes and rakes and base metal parts thereof",0.0,0.0,0.0
62031210,"Men's or boys' suits, of synthetic fibers, not knitted or crocheted, containing 36 percent or more by weight of wool or fine animal hair",6203.42,620342,4062034,"Colby cheese, grated or powdered, subject to gen. note 15 of the HTS",1.0,0.0,0.0
53110020,"Woven fabrics of other vegetable textile fibers, containing more than 17% by weight of wool or fine animal hair",520831,520831,4052010,"Butter substitute dairy spreads, over 45% butterfat weight, subject to general note 15 (outside quota)",0.0,0.0,0.0
84451300,Drawing or roving machines for preparing textile fibers,8445.11,844511,3024511,"Jack & horse mackerel, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers weighing with their contents <6.8 kg",1.0,0.0,0.0
29310022,Drugs of aromatic organo-inorganic (except organo-sulfur) compounds,3004.90.00,30049000,10049000,"Oats, other than seed",0.0,0.0,0.0
71151000,"Catalysts in the form of wire cloth or grill, of platinum",711510,711510,7115100,"Mushrooms of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption",1.0,1.0,0.0
29042050,"Nonaromatic derivatives of hydrocarbons containing only nitro or only nitroso groups, nesi",29042000,29042000,29022000,Benzene,1.0,1.0,0.0
28441010,Natural uranium metal,2612.10.00,26121000,26121000,Uranium ores and concentrates,0.0,0.0,0.0
