2025_hs4,year,hs,brief_description,mfn_ad_val_rate,mfn_specific_rate,unit_1,unit_2,quantity_1_code,quantity_2_code,description_1,duty_1,description_2,duty_2,description_3,duty_3,description_4,duty_4,country_1,country_duty_1,country_2,country_duty_2,country_3,country_duty_3,country_desc,country_codes,mfn_other_rate,mfn_rate_type_code,index
9110,1932,9550 750,"Clocks and clock movements, and clock parts (including watch movements 1.77 inches or more wide): Parts of clocks and clock movements: Valued more than $5, not more than $10 each: Pillar or bottom plates: Other clocks and clock movements    ",0.325,150,,,NA,NA,NA,$1.50 ea + 32.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24315
2204,1792,,"Madeira, of the quality of London market",0,49,per gallon,,,,,49 cents,,,,,,,,,,,,,,,NA,,142
708,1930,1193 000,Cowpeas: Black-eye: Green or unripe    ,0,3.5,lb,,NA,NA,NA,3.5¢ lb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10394
7116,1933,5957 200,"Imitation pearls: Solid pearls, n.e.s.: Valued not more than 0.25 cent per inch    ",0.6,0,,,NA,NA,NA,60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27892
7409,1861,,"Copper, when imported for the United States Mint",0,0,,,,,Free,0,,,,,,,,,,,,,,,NA,,1553
6403,1931,0355 200,"Boots, shoes, or other footwear (including athletic or sporting boots and shoes) made wholly or in chief value of leather, n.s.p.f.: Boots, shoes or other footwear, n.e.s.: Infants' and children's: Welt    ",0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15147
7203,1933,6021 520,Bar iron: Galvanized or coated with metal (Indicate by using 2 as the sixth figure of the commodity number)    ,0,0.2,lb additional,,NA,NA,NA,0.2¢ lb additional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27947
6814,1931,5564 000,"Other nonmetallic minerals and manufactures of, n.e.s.: Mica: Manufactured: Mica plates and built-up mica    ",0.4,0,,,NA,NA,NA,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17630
4816,1933,4799 490,"Wet transfer paper, containing imprint taken from lithographic plates or stones    ",0.65,0,,,NA,NA,NA,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27446
6914,1933,9030 100,"Dry plates, n.s.p.f.    ",0.2,0,,,NA,NA,NA,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29207
7224,1934,NA,"Dutiable excess of alloys: All steel or iron in the materials and articles described in paragraphs 303, 304, 307, 308, 312, 313, 315, 316, 317, 318, 319, 322, 323, 324, 327, and 328 (of the Tariff Act of 1930) containing more than 0.1 percent of vanadium, or more than 0.2 percent of tungsten, molybdenum, or chromium, or more than 0.6 percent of nickel, cobalt, or any metallic element used in alloying steel or iron, subject to 8 percent additional duty under paragraph 305 (Indicate by 4 as the seventh figure of the regular commodity number affected) (formerly indicated by 4, 6, or 8 as the seventh figure of the commodity number, dependent upon the value per pound)    ",0.08,0,,,NA,NA,NA,8% additional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33351
2837,1894,,"Prussiate of, red, or yellow",0.25,0,per centum ad val,,,,Schedule A,25%,,,,,,,,,,,,,,,NA,,2643
6703,1933,3693 000,"Human hair: Manufactures: Tops, roving, and yarns    ",0.25,6,lb ,,NA,NA,NA,6¢ lb + 25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26991
5603,1930,,"Pile fabrics (including pile ribbons), whether or not the pile covers the entire surface, wholly or in chief value of silk, and all articles, finished or unfinished, made or cut from such pile fabrics: (1) If the pile is wholly cut or wholly uncut, if other than velvets",0.6,0,per centum ad val,,,,Schedule 12,60%,,,,,,,,,,,,,,,NA,,9093
1515,1930,2257 300,Expressed or extracted oils and fats: Croton oil    ,0,0,,,NA,NA,NA,Free,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10922
5911,1930,,"hair press cloth, not specially provided for",0.4,0,per centum ad val,,,,Schedule 15,40%,,,,,,,,,,,,,,,NA,,9326
8203,1930,6150 460,"Tools: Other pliers, pincers, and nippers: Valued not over $2 per dozen    ",0.6,60,doz ,,NA,NA,NA,60¢ doz + 60%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12844
