ProductDescription,ProductCode,Final Predicted HS Code,Final Confidence Level,F1_2digit,F1_4digit,F1_6digit
"(5-2-chloro-4-(trifluoromethyl)phenoxy-n-(methylsulfonyl)-2-nitrobenzamide)(fomesafen), n-(2,6-dichloro-3-methylphenyl)-5-amino-1,3,4-triazole-2-sulfonamide, 2,4-dichloro-5-sulfamoylbenzoic acide, n-e",29350013,29359013,0.8485501408576965,1,1,0
"1,3-Bis(aminoethyl)cyclohexane",29213005,29213005,1.0,1,1,1
"1-Hydroxy-6-octadecyloxy-2-naphthalenecarboxylic acid, and 1-hydroxy-6-docosyloxy-2-naphthalenecarboxylic acid",29189006,29189906,0.9915503263473512,1,1,0
"1/ 1-Ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic",99023085,29334917,0.7715380787849426,0,0,0
1/ 3-Aminopropanol (CAS No. 156-87-6),99023021,29242926,0.6612285375595093,0,0,0
1/ 3-Ethylamino-p-cresol (provided for in,99022941,29222915,0.6581494808197021,0,0,0
1/ 4-Methoxyaniline-2-sulfonic acid (provided,99022947,29145010,0.7009438872337341,0,0,0
1/ 6-Amino-4-hydroxy-2-naphthalenesulfonic,99022935,29089906,0.8536044359207153,0,0,0
1/ 8-Amino-2-naphthalenesulfonic acid,99023037,29089906,0.8155696392059326,0,0,0
1/ Airfield lighting regulators; automatic,99059017,90328920,0.5113487839698792,0,0,0
1/ Aluminum fittings used solely or,99058340,76090000,0.7711048126220703,0,0,0
1/ Any mixture containing ethyl,99063803,29012100,0.6317033767700195,0,0,0
1/ Barbituric acid (provided for in,99022971,29335290,0.7525389194488525,0,0,0
1/ Base paper to be sensitized for use in,99074801,37021000,0.7577257752418518,0,0,0
"1/ Cheeses and substitutes for cheeses, valued",99030420,99040642,0.6656323671340942,1,0,0
1/ Closed-face spin casting fishing reels,99059510,95073080,0.5864534378051758,0,0,0
1/ Electronic keyboxes and parts thereof,99058350,83017000,0.5196977853775024,0,0,0
"1/ Film, of a thickness not exceeding 0.025 mm,",99053918,80070020,0.6583672761917114,0,0,0
1/ Flexible closed-cell rubber tubing designed,99054002,40081980,0.6113665699958801,0,0,0
1/ If entered during the effective period of,99041716,99040501,0.4600906670093536,1,1,0
1/ If entered during the month of,99060716,8084040,0.4406000375747681,0,0,0
1/ If entered during the period,99060719,99130805,0.5669451951980591,1,0,0
1/ Impact line printers using band drive,99078415,84431150,0.4961904585361481,0,0,0
1/ Insulators for precipitators (provided for,99056910,85469000,0.589584231376648,0,0,0
"1/ Methylamine, whether or not in solution",99052918,29215940,0.6156253218650818,0,0,0
1/ Motorized stair climbing exercise,99059504,85437098,0.512814998626709,0,0,0
1/ Parts and accessories of the instruments,99059010,90230000,0.6840072870254517,0,0,0
1/ Parts of molten-salt-cooled acrylic acid,99078402,29161100,0.7411856055259705,0,0,0
"1/ Pet food packaged for retail sale,",99032335,23091000,0.7522029876708984,0,0,0
"1/ Polyvinyl chloride edgebanding, of a width",99053907,44111220,0.5426429510116577,0,0,0
1/ Pork hams and shoulders (except,99032305,2101900,0.8019765019416809,0,0,0
1/ Provided for in subheading 0404.10.15.... 1/ 38.5¢/kg + 3.2%,99040486,99129543,0.5982917547225952,1,0,0
1/ Provided for in subheading 1702.20.28.... 1/ 6.3¢/kg of total sugars + 1.9%,99041773,99041739,0.664087176322937,1,1,1
1/ Provided for in subheading 1702.90.58.... 1/ 12.6¢/kg of total sugars + 1.9%,99041777,99041739,0.6646751165390015,1,1,1
1/ Provided for in subheading 1806.20.73.... 1/ 11.4¢/kg + 3.2%,99041742,99129543,0.582788348197937,1,0,0
1/ Skating boots for use in the manufacture of,99026402,95067040,0.750110924243927,0,0,0
1/ Specified in U.S. note 24 to,99065201,99130805,0.548937976360321,1,0,0
1/ Strip certified by the importer as,99054005,74093990,0.5219448804855347,0,0,0
1/ Subject to the quantitative,99062111,99130455,0.5262993574142456,1,0,0
1/ Subject to the quantitative limits,99060511,99130455,0.5968844890594482,1,0,0
"1/ Television picture tubes, color, having a video",99028540,85401150,0.7881034612655641,0,0,0
"1/ Toilet paper, of cellulose webbing or webs of",99074802,48183000,0.6626802086830139,0,0,0
"1/ Track suit shirts, of cotton (provided for",99066119,61121100,0.7569952607154846,0,0,0
"1/ Tubes, pipes and hollow profiles of",99057304,73030000,0.7483118176460266,0,0,0
1/ Valued $1.10/kg or more,99040472,35030040,0.618951678276062,0,0,0
1/ Valued $1.20/kg or more,99045236,35030040,0.5929905772209167,0,0,0
1/ Valued $1.30/kg or more,99040224,35030040,0.5888768434524536,0,0,0
1/ Valued $1.40/kg or more,99045228,35030040,0.5991778373718262,0,0,0
1/ Valued $1.50/kg or more,99040234,35030040,0.585345983505249,0,0,0
1/ Valued $1.55/kg or more,99041906,35030040,0.6195353269577026,0,0,0
1/ Valued $1.80/kg or more,99040544,35030040,0.6044042110443115,0,0,0
1/ Valued $1/liter or more,99040406,22086010,0.6170589923858643,0,0,0
1/ Valued $2.05/kg or more,99040589,35030040,0.588894248008728,0,0,0
1/ Valued $2.40/kg or more,99040553,35030040,0.6022430062294006,0,0,0
1/ Valued $2.65/kg or more,99040601,35030040,0.5972079038619995,0,0,0
1/ Valued $3.20/kg or more,99045238,99040447,0.6001980900764465,1,1,0
