1996 Item,Predicted HS Code,Associated 2023 Description,Confidence Score
"Raisins, made from other than seedless grapes",8062010,"Raisins, made from dried seedless grapes",0.9358082413673401
Missing description,84715001,"Processing units other than those of subheading 8471.41 and 8471.49, nesoi",0.3360288143157959
"Crabmeat, frozen",16051040,"Crabmeat, prepared or preserved, other than in airtight containers",0.8146053552627563
1/ Valued 75¢/kg or more.................... 1/ No additional duty,99129544,MA apricots in subheading 2008.50.40>= 58.8 cents/kg<88.2 cents/kg,0.546933650970459
Badminton nets of cotton,95069908,"Badminton nets, of cotton",0.8571274876594543
"Mushrooms, fresh or chilled",7095500,"Matsutake mushrooms, fresh or chilled",0.7593454122543335
"Sewing machines, other than automatic, specially designed to join footwear soles to uppers",84522910,"Sewing machines, other than automatic, specially designed to join footwear soles to uppers",0.8706761598587036
1/ Strip certified by the importer as,78041900,"Lead, plates & sheets, strip and foil w/thickness o/0.2mm, nesoi",0.5204222202301025
Missing description,84715001,"Processing units other than those of subheading 8471.41 and 8471.49, nesoi",0.3360288143157959
1/ Other (provided for in subheading 2002.90.00.. 1/ 100% No change,99150450,"GT, NI or SV goods in subheadings 1901.90.43 or 1901.90.47 subject to U.S. note 8(b) limits",0.5344138145446777
1/ Valued not over $1.22/kg....... 1/ 67.8¢/kg (MX),99129543,MA apricots in subheading 2008.50.40>= 39.2 cents/kg<58.8 cents/kg,0.5772136449813843
1/ Valued not over $1.27/kg....... 1/ 83.5¢/kg (MX),99129543,MA apricots in subheading 2008.50.40>= 39.2 cents/kg<58.8 cents/kg,0.6004912853240967
Three speed,87149324,"Pts. & access. for bicycles & o/cycles, 2-speed hubs, w/internal gear changing mechanisms, nesoi",0.5833487510681152
"Statuettes and other ornamental articles, nesi, of bone chinaware",69131050,"Porcelain or china (o/than bone china) statuettes and other ornamental articles, nesoi",0.7468079328536987
Other,90222980,"Apparatus based on the use of alpha, beta or gamma radiations, other than for medical, surgical, dental or veterinary use, nesoi",0.38770782947540283
"Women's or girls' dresses, knitted or crocheted, of cotton",61044200,"Women's or girls' dresses, knitted or crocheted, of cotton",0.8555207252502441
"Parts of bearing housings and plain shaft bearings, nesi",84839030,"Parts of bearing housings and plain shaft bearings, nesoi",0.8205794095993042
1/ Valued 15¢/kg or more,35030040,Inedible gelatin and animal glue valued 88 cents or more per kg,0.6202399730682373
Missing description,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.39804747700691223
1/ Subject to the quantitative,99130455,Australia goods: Of subheading 0406.90.33 subject to the quantitative limits specified in U.S. note 14 to this subchapter,0.5462548136711121
"Haddock, fresh or chilled, excluding fillets, other meat portions, livers and roes",3025200,"Haddock, fresh or chilled, excluding fillets, other meat portions, livers and roes",0.8048710227012634
"Automatic circuit breakers, for a voltage not exceeding 1,000 V",85362000,"Automatic circuit breakers, for a voltage not exceeding 1,000 V",0.7242391109466553
Electrical lighters,96138020,"Cigarette lighters and similar lighters (other than pocket or table), electrical",0.6579524278640747
Described in additional U.S note 22 to this chapter and entered pursuant to its provisions,98220125,Apparel goods described in US note 2 to this subchapter and entered pursuant to its provisions,0.45926856994628906
Missing description,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.39804747700691223
"Maps and hydrographic or similar charts of all kinds, including atlases, wall maps and topographical plans, printed, not in book form",49052000,"Maps and hydrographic or similar charts of all kinds, including atlases and topographical plans, printed in book form",0.8798352479934692
Other,90222980,"Apparatus based on the use of alpha, beta or gamma radiations, other than for medical, surgical, dental or veterinary use, nesoi",0.38770782947540283
"Nonconiferous wood, roughly shaped into poles, pickets, stakes, sticks and other forms, to be finished into specific articles or products",44042000,"Nonconiferous wood, roughly shaped into poles, pickets, stakes, sticks and other forms, to be finished into specific articles or products",0.8442040681838989
Other,90222980,"Apparatus based on the use of alpha, beta or gamma radiations, other than for medical, surgical, dental or veterinary use, nesoi",0.38770782947540283
Flax tow and waste (including yarn waste and garnetted stock),53013000,Flax tow and waste (including yarn waste and garnetted stock),0.7992746829986572
"Parts of furniture (other than seats) of cane, osier, bamboo or similar materials",94039920,"Parts of furniture (o/than seats), of cane, osier, bamboo or similar materials",0.8329440355300903
"Hydraulic jacks and hoists, nesi",84254900,"Jacks and hoists of a kind used for raising vehicles, other than hydraulic, nesoi",0.7869701385498047
Other,90222980,"Apparatus based on the use of alpha, beta or gamma radiations, other than for medical, surgical, dental or veterinary use, nesoi",0.38770782947540283
1/ Valued $4.20/kg or more,35030040,Inedible gelatin and animal glue valued 88 cents or more per kg,0.5980377197265625
Luminescent grade having a purity of 99.99 percent or more by weight,28309010,"Zinc sulfide, luminescent grade, purity>= 99.99 % By wt.",0.5756838321685791
"Filter blocks, slabs and plates of paper pulp",48120000,"Filter blocks, slabs and plates of paper pulp",0.7813919186592102
Other,64034030,"Footwear w/outer soles of rubber/plastics/leather/comp. leather & uppers of leather, w/protective metal toe-cap, welt",0.4055185616016388
"Specified aromatic amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function",29225035,"Aromatic amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function described in add. US note 3 to section VI",0.7286250591278076
"Disodium sulfate, crude (Salt cake)",28331110,"Disodium sulfate, crude (Salt cake)",0.8801625967025757
Floor coverings of agglomerated cork,45041030,Floor coverings of agglomerated cork,0.7775453329086304
"Machinery, apparatus and equipment of heading 8442, nesi",85389030,"Printed circuit assemblies, suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, nesoi",0.6771023273468018
Missing description,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.39804747700691223
Missing description,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.39804747700691223
1/ Valued 25¢/kg or more,99129582,"MA other fruit mixtures in subheading 2008.97.90,>=20 cents/kg<32 cents/kg",0.6178963780403137
"Filtering or purifying machinery and apparatus for liquids, nesi",84212900,"Filtering or purifying machinery and apparatus for liquids, nesoi",0.8156276941299438
Containing 70 percent or more by weight of silk or silk waste,50072000,"Woven fabrics containing 85 percent or more by weight of silk or of silk waste, other than noil silk",0.6893320083618164
"Articles of travertine simply cut or sawn, with a flat or even surface, dressed or polished, not further worked",68022110,"Monumental or building stone & arts. thereof, of travertine, simply cut/sawn, w/flat or even surface",0.7583785057067871
Butene (Butylene) and isomers thereof,29012300,Butene (Butylene) and isomers thereof,0.8567631244659424
Gymnasium or other exercise articles and equipment; parts and accessories thereof,95069100,"Arts. and equip. for general physical exercise, gymnastics or athletics and parts & accessories thereof",0.5938585996627808
Other,64034030,"Footwear w/outer soles of rubber/plastics/leather/comp. leather & uppers of leather, w/protective metal toe-cap, welt",0.4055185616016388
"Women's or girls' skirts and divided skirts, not knitted or crocheted, of cotton, certified hand-loomed and folklore products",62045210,"Women's or girls' skirts and divided skirts, not knitted or crocheted, of cotton, certified hand-loomed and folklore products",0.8985057473182678
Missing description,83100000,"Base metal sign plates, name plates, address plates, numbers, letters and other symbols (o/than of 9405), and base metal parts thereof",0.39804747700691223
"Waterproof footwear covering the knee, nesi, with outer soles and uppers of rubber or plastics",64029150,"Footwear w/outer soles & uppers of rubber or plastics, nesoi, covering ankle, designed as protection against liquids, chemicals, weather",0.7830988168716431
"Single textured yarn, of nylon or other polyamides, measuring not more than 500 decitex, not put up for retail sale",54023130,"Single textured yarn, of nylon or other polyamides, measuring not more than 500 decitex, not put up for retail sale",0.7777202129364014
"Aluminum foil of a thickness exceeding 0.01 mm but not exceeding 0.15 mm, rolled but not further worked, not backed",76071160,"Aluminum, foil, w/thickness over 0.01 mm but n/o 0.15 mm, rolled but not further worked, not backed",0.7958396673202515
