1996 Item,Predicted HS Code,Confidence Score
Other,9030000,0.3508177697658539
"Letterpress printing machinery, excluding flexographic printing, other than reel-fed",84431500,1.0000001192092896
"Hydraulic jacks and hoists, nesi",84254200,0.9352718591690063
Butene (Butylene) and isomers thereof,29012300,1.0
"Filter blocks, slabs and plates of paper pulp",48120000,1.0
"Sewing machines, other than automatic, specially designed to join footwear soles to uppers",84522910,1.0
Missing description,70200060,0.3560498356819153
Gymnasium or other exercise articles and equipment; parts and accessories thereof,95069100,0.6965913772583008
1/ Strip certified by the importer as,99038069,0.5084695219993591
"Crabmeat, frozen",3061420,1.0
1/ Valued not over $1.27/kg....... 1/ 83.5¢/kg (MX),99129542,0.5762154459953308
"Disodium sulfate, crude (Salt cake)",28331110,1.0
Badminton nets of cotton,95069908,0.9878101944923401
Missing description,70200060,0.3560498356819153
"Nonconiferous wood, roughly shaped into poles, pickets, stakes, sticks and other forms, to be finished into specific articles or products",44042000,1.0
"Women's or girls' dresses, knitted or crocheted, of cotton",61044200,1.0
"Raisins, made from other than seedless grapes",8062020,1.0
Electrical lighters,96139040,0.7997606992721558
Described in additional U.S note 22 to this chapter and entered pursuant to its provisions,98220125,0.5398069024085999
1/ Valued 75¢/kg or more.................... 1/ No additional duty,99040235,0.5152934193611145
"Aluminum foil of a thickness exceeding 0.01 mm but not exceeding 0.15 mm, rolled but not further worked, not backed",76071160,0.8859802484512329
Luminescent grade having a purity of 99.99 percent or more by weight,28309010,0.6585738062858582
"Specified aromatic amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function",29225010,1.000000238418579
Flax tow and waste (including yarn waste and garnetted stock),53013000,1.0
"Mushrooms, fresh or chilled",7095991,0.8737488985061646
"Automatic circuit breakers, for a voltage not exceeding 1,000 V",85362000,1.000000238418579
Floor coverings of agglomerated cork,45041030,1.000000238418579
Insulated (including enameled or anodized) coaxial cable and other coaxial conductors,85442000,1.000000238418579
Containing 70 percent or more by weight of silk or silk waste,62139007,0.8333443403244019
"Statuettes and other ornamental articles, nesi, of bone chinaware",69131020,0.915897011756897
Simplex decalcomania paper in rolls over 36 cm wide or in rectangular sheets over 36 cm on side(s),48099040,1.0
"Mechano-therapy appliances and massage apparatus, and parts and accessories thereof",90191020,1.0000001192092896
Furniture designed to receive refrigerating or freezing equipment,84189100,1.0
"Bleached plain weave fabrics of cotton, under 85% cotton by weight, mixed mainly with man-made fibers, over 200 g/m2",52112021,0.9941996335983276
Missing description,70200060,0.3560498356819153
